"River","Site","Element","Amount"
"Grasse","Up stream","Al",0.605555555555556
"Grasse","Mid stream","Al",0.425
"Grasse","Down stream","Al",0.194444444444444
"Oswegatchie","Up stream","Al",1
"Oswegatchie","Mid stream","Al",0.161111111111111
"Oswegatchie","Down stream","Al",0.0333333333333333
"Raquette","Up stream","Al",0.291666666666667
"Raquette","Mid stream","Al",0.0388888888888889
"Raquette","Down stream","Al",0
"St. Regis","Up stream","Al",0.680555555555556
"St. Regis","Mid stream","Al",0.45
"St. Regis","Down stream","Al",0.286111111111111
"Grasse","Up stream","Ba",0.505283381364073
"Grasse","Mid stream","Ba",0.564841498559078
"Grasse","Down stream","Ba",0.523535062439962
"Oswegatchie","Up stream","Ba",0.357348703170029
"Oswegatchie","Mid stream","Ba",0.560038424591739
"Oswegatchie","Down stream","Ba",1
"Raquette","Up stream","Ba",0
"Raquette","Mid stream","Ba",0.22478386167147
"Raquette","Down stream","Ba",0.364073006724304
"St. Regis","Up stream","Ba",0.379442843419789
"St. Regis","Mid stream","Ba",0.296829971181556
"St. Regis","Down stream","Ba",0.577329490874159
"Grasse","Up stream","Br",0.107142857142857
"Grasse","Mid stream","Br",0.0357142857142857
"Grasse","Down stream","Br",0.178571428571429
"Oswegatchie","Up stream","Br",0.107142857142857
"Oswegatchie","Mid stream","Br",0.857142857142857
"Oswegatchie","Down stream","Br",1
"Raquette","Up stream","Br",0
"Raquette","Mid stream","Br",0.0714285714285714
"Raquette","Down stream","Br",0.214285714285714
"St. Regis","Up stream","Br",0.0357142857142857
"St. Regis","Mid stream","Br",0.0357142857142857
"St. Regis","Down stream","Br",0.107142857142857
"Grasse","Up stream","Ca",0.115987189474595
"Grasse","Mid stream","Ca",0.360945209036614
"Grasse","Down stream","Ca",0.730978966502207
"Oswegatchie","Up stream","Ca",0
"Oswegatchie","Mid stream","Ca",0.484722582878906
"Oswegatchie","Down stream","Ca",1
"Raquette","Up stream","Ca",0.0612827836925474
"Raquette","Mid stream","Ca",0.229983554055224
"Raquette","Down stream","Ca",0.523586947113304
"St. Regis","Up stream","Ca",0.132433134250844
"St. Regis","Mid stream","Ca",0.251622955076603
"St. Regis","Down stream","Ca",0.427767679390634
"Grasse","Up stream","Ce",0.514450867052023
"Grasse","Mid stream","Ce",0.520231213872832
"Grasse","Down stream","Ce",0.283236994219653
"Oswegatchie","Up stream","Ce",1
"Oswegatchie","Mid stream","Ce",0.184971098265896
"Oswegatchie","Down stream","Ce",0.069364161849711
"Raquette","Up stream","Ce",0.127167630057803
"Raquette","Mid stream","Ce",0.0115606936416185
"Raquette","Down stream","Ce",0
"St. Regis","Up stream","Ce",0.497109826589595
"St. Regis","Mid stream","Ce",0.341040462427746
"St. Regis","Down stream","Ce",0.219653179190751
"Grasse","Up stream","Cu",0
"Grasse","Mid stream","Cu",0.2
"Grasse","Down stream","Cu",1
"Oswegatchie","Up stream","Cu",0.2
"Oswegatchie","Mid stream","Cu",0.7
"Oswegatchie","Down stream","Cu",0.6
"Raquette","Up stream","Cu",0.2
"Raquette","Mid stream","Cu",0.1
"Raquette","Down stream","Cu",0.2
"St. Regis","Up stream","Cu",0.2
"St. Regis","Mid stream","Cu",0.1
"St. Regis","Down stream","Cu",0.1
"Grasse","Up stream","Dy",0.65
"Grasse","Mid stream","Dy",0.75
"Grasse","Down stream","Dy",0.45
"Oswegatchie","Up stream","Dy",1
"Oswegatchie","Mid stream","Dy",0.3
"Oswegatchie","Down stream","Dy",0.15
"Raquette","Up stream","Dy",0.1
"Raquette","Mid stream","Dy",0.05
"Raquette","Down stream","Dy",0
"St. Regis","Up stream","Dy",0.65
"St. Regis","Mid stream","Dy",0.55
"St. Regis","Down stream","Dy",0.35
"Grasse","Up stream","Er",0.6
"Grasse","Mid stream","Er",0.666666666666667
"Grasse","Down stream","Er",0.4
"Oswegatchie","Up stream","Er",1
"Oswegatchie","Mid stream","Er",0.266666666666667
"Oswegatchie","Down stream","Er",0.133333333333333
"Raquette","Up stream","Er",0.0666666666666667
"Raquette","Mid stream","Er",0.0666666666666667
"Raquette","Down stream","Er",0
"St. Regis","Up stream","Er",0.6
"St. Regis","Mid stream","Er",0.4
"St. Regis","Down stream","Er",0.333333333333333
"Grasse","Up stream","Fe",1
"Grasse","Mid stream","Fe",0.541575492341357
"Grasse","Down stream","Fe",0.324945295404814
"Oswegatchie","Up stream","Fe",0.908096280087527
"Oswegatchie","Mid stream","Fe",0.217724288840263
"Oswegatchie","Down stream","Fe",0.109409190371991
"Raquette","Up stream","Fe",0.0853391684901532
"Raquette","Mid stream","Fe",0.00656455142231947
"Raquette","Down stream","Fe",0
"St. Regis","Up stream","Fe",0.788840262582057
"St. Regis","Mid stream","Fe",0.588621444201313
"St. Regis","Down stream","Fe",0.350109409190372
"Grasse","Up stream","Gd",0.772727272727273
"Grasse","Mid stream","Gd",0.818181818181818
"Grasse","Down stream","Gd",0.590909090909091
"Oswegatchie","Up stream","Gd",1
"Oswegatchie","Mid stream","Gd",0.272727272727273
"Oswegatchie","Down stream","Gd",0.227272727272727
"Raquette","Up stream","Gd",0.136363636363636
"Raquette","Mid stream","Gd",0.0909090909090909
"Raquette","Down stream","Gd",0
"St. Regis","Up stream","Gd",0.590909090909091
"St. Regis","Mid stream","Gd",0.590909090909091
"St. Regis","Down stream","Gd",0.454545454545455
