"River Name","Site","Ele","Amo","Wea"
"Grasse","Up stream","Al","0.605555555555556","sunny"
"Grasse","Mid stream","Al","0.425","cloudy"
"Grase","Down stream","Al","0.194444444444444","sunny"
"Oswegatchie","Up stream","Al","1","cloudy"
"Oswegatchie","Mid stream","Al","0.161111111111111","snowy"
"Oswegatchie","Down stream","Al","0.0333333333333333","cloudy"
"Raquette","Up stream","Al","0.291666666666667","cloudy"
"Raquette","Mid stream","Al","0.0388888888888889","sunny"
"Raquette","Down stream","Al","0","snowy"
"St. Regis","Up stream","Al","0.680555555555556","wet"
"St. Regis","Mid stream","Al","0.45","snowy"
"St. Regis","Down stream","Al","0.286111111111111","wet"
"Grasse","Up stream","Ba","0.505283381364073","wet"
"Grasse","Mid stream","Ba","0.564841498559078","snowy"
"Grasse","Down stream","Ba","0.523535062439962","wet"
"Oswegatchie","Up stream","Ba","0.357348703170029","cloudy"
"Oswegatchie","Mid stream","Ba","0.560038424591739","sunny"
"Oswegatchie","Down stream","Ba","1","snowy"
"Raquette","Up stream","Ba","0","wet"
"Raquette","Mid stream","Ba","0.22478386167147","cloudy"
"Raquette","Down stream","Ba","0.364073006724304","snowy"
"St. Regis","Up stream","Ba","0.379442843419789","wet"
"St. Regis","Mid stream","Ba","0.296829971181556","cloudy"
"St. Regis","Down stream","Ba","0.577329490874159","snowy"
"Grasse","Up stream","Br","0.107142857142857","sunny"
"Grasse","Mid stream","Br","0.0357142857142857","wet"
"Grasse","Down stream","Br","0.178571428571429","wet"
"Oswegatchie","Up stream","Br","0.107142857142857","cloudy"
"Oswegatchie","Mid stream","Br","0.857142857142857","cloudy"
"Oswegatchie","Down stream","Br","1","sunny"
"Raquette","Up stream","Br","0","snowy"
"Raquette","Mid stream","Br","0.0714285714285714","snowy"
"Raquette","Down stream","Br","0.214285714285714","cloudy"
"St. Regis","Up stream","Br","0.0357142857142857","sunny"
"St. Regis","Mid stream","Br","0.0357142857142857","snowy"
"St. Regis","Down stream","Br","0.107142857142857","sunny"
"Grasse","Up stream","Ca","0.115987189474595","snowy"
"Grasse","Mid stream","Ca","0.360945209036614","snowy"
"Grasse","Down stream","Ca","0.730978966502207","wet"
"Oswegatchie","Up stream","Ca","0","snowy"
"Oswegatchie","Mid stream","Ca","0.484722582878906","cloudy"
"Oswegatchie","Down stream","Ca","1","snowy"
"Raquette","Up stream","Ca","0.0612827836925474","wet"
"Raquette","Mid stream","Ca","<0.1","wet"
"Raquette","Down stream","Ca","0.523586947113304","cloudy"
"St. Regis","Up stream","Ca","0.132433134250844","cloudy"
"St. Regis","Mid stream","Ca","0.251622955076603","wet"
"St. Regis","Down stream","Ca","0.427767679390634","cloudy"
"Grasse","Up stream","Ce","0.514450867052023","wet"
"Grasse","Mid stream","Ce","0.520231213872832","wet"
"Grasse","Down stream","Ce","0.283236994219653","cloudy"
"Oswegatchie","Up stream","Ce","1","cloudy"
"Oswegatchie","Mid stream","Ce","0.184971098265896","snowy"
"Oswegatchie","Down stream","Ce","0.069364161849711","sunny"
"Raquette","Up stream","Ce","0.127167630057803","snowy"
"Raquette","Mid stream","Ce","0.0115606936416185","sunny"
"Raquette","Down stream","Ce","0","sunny"
"St. Regis","Up stream","Ce","0.497109826589595","wet"
"St. Regis","Mid stream","Ce","0.341040462427746","snowy"
"St. Regis","Down stream","Ce","0.219653179190751","cloudy"
"Grasse","Up stream","Cu","0","wet"
"Grasse","Mid stream","Cu","0.2","wet"
"Grasse","Down stream","Cu","1","wet"
"Oswegatchie","Up stream","Cu","0.2","snowy"
"Oswegatchie","Mid stream","Cu","0.7","snowy"
"Oswegatchie","Down stream","Cu","0.6","snowy"
"Raquette","Up stream","Cu","0.2","sunny"
"Raquette","Mid stream","Cu","0.1","sunny"
"Raquette","Down stream","Cu","0.2","snowy"
"St. Regis","Up stream","Cu","0.2","snowy"
"St. Regis","Mid stream","Cu","0.1","wet"
"St. Regis","Down stream","Cu","0.1","cloudy"
"Grasse","Up stream","Dy","0.65","wet"
"Grasse","Mid stream","Dy","0.75","snowy"
"Grasse","Down stream","Dy","0.45","wet"
"Oswegatchie","Up stream","Dy","1","wet"
"Oswegatchie","Mid stream","Dy","0.3","snowy"
"Oswegatchie","Down stream","Dy","0.15","snowy"
"Raquette","Up stream","Dy","0.1","sunny"
"Raquette","Mid stream","Dy","0.05","snowy"
"Raquette","Down stream","Dy","0","wet"
"St. Regis","Up stream","Dy","0.65","wet"
"St. Regis","Mid stream","Dy","0.55","cloudy"
"St. Regis","Down stream","Dy","0.35","wet"
"Grasse","Up stream","Er","0.6","wet"
"Grasse","Mid stream","Er","0.666666666666667","wet"
"Grasse","Down stream","Er","0.4","sunny"
"Oswegatchie","Up stream","Er","1","sunny"
"Oswegatchie","Mid stream","Er","0.266666666666667","cloudy"
"Oswegatchie","Down stream","Er","0.133333333333333","cloudy"
"Raquette","Up stream","Er","0.0666666666666667","wet"
"Raquette","Mid stream","Er","0.0666666666666667","wet"
"Raquette","Down stream","Er","0","cloudy"
"St. Regis","Up stream","Er","0.6","sunny"
"St. Regis","Mid stream","Er","0.4","cloudy"
"St. Regis","Down stream","Er","0.333333333333333","wet"
"Grasse","Up stream","Fe","1","wet"
"grasse","Mid stream","Fe","0.541575492341357","cloudy"
"Grasse","Down stream","Fe","0.324945295404814","wet"
"Oswegatchie","Up stream","Fe","0.908096280087527","cloudy"
"Oswegatchie","Mid stream","Fe","0.217724288840263","wet"
"Oswegatchie","Down stream","Fe","0.109409190371991","wet"
"Raquette","Up stream","Fe","0.0853391684901532","cloudy"
"raquette","Mid stream","Fe","0.00656455142231947","wet"
"Raquette","Down stream","Fe","0","sunny"
"St. Regis","Up stream","Fe","0.788840262582057","snowy"
"St. Regis","Mid stream","Fe","0.588621444201313","snowy"
"St. Regis","Down stream","Fe","0.350109409190372","wet"
"Grasse","Up stream","Gd","0.772727272727273","sunny"
"Grasse","Mid stream","Gd","0.818181818181818","sunny"
"Grasse","Down stream","Gd","0.590909090909091","wet"
"Oswegatchie","Up stream","Gd","1","cloudy"
"Oswegatchie","Mid stream","Gd","0.272727272727273","snowy"
"Oswegatchie","Down stream","Gd","0.227272727272727","cloudy"
"Raquette","Up stream","Gd","0.136363636363636","wet"
"Raquette","Mid stream","Gd","0.0909090909090909","sunny"
"Raquette","Down stream","Gd","0","wet"
"St. Regis","Up stream","Gd","0.590909090909091","wet"
"St. Regis","Mid stream","Gd","0.590909090909091","sunny"
"St. Regis","Down stream","Gd","0.454545454545455","snowy"
"Grasse","Up stream","Ho",NA,"wet"
"Grasse","Mid stream","Ho",NA,"sunny"
"Grasse","Down stream","Ho",NA,"cloudy"
"Oswegatchie","Up stream","Ho",NA,"cloudy"
"Oswegatchie","Mid stream","Ho",NA,"sunny"
"Oswegatchie","Down stream","Ho",NA,"snowy"
"Raquette","Up stream","Ho",NA,"cloudy"
"Raquette","Mid stream","Ho",NA,"cloudy"
"Raquette","Down stream","Ho",NA,"snowy"
"St. Regis","Up stream","Ho",NA,"snowy"
"St. Regis","Mid stream","Ho",NA,"snowy"
"St. Regis","Down stream","Ho",NA,"sunny"
"Grasse","Up stream","K","0.0313479623824451","snowy"
"Grasse","Mid stream","K","0.230407523510972","wet"
"Grasse","Down stream","K","0.4858934169279","snowy"
"Oswegatchie","Up stream","K","0.18025078369906","wet"
"Oswegatchie","Mid stream","K","0.426332288401254","wet"
"Oswegatchie","Down stream","K","1","sunny"
"Raquette","Up stream","K","0.24294670846395","wet"
"Raquette","Mid stream","K","0.304075235109718","sunny"
"Raquette","Down stream","K","0.619122257053291","sunny"
"St. Regis","Up stream","K","0","cloudy"
"St. Regis","Mid stream","K","0.109717868338558","snowy"
"St. Regis","Down stream","K","0.231974921630094","snowy"
"Grasse","Up stream","La","0.477064220183486","snowy"
"Grasse","Mid stream","La","0.688073394495413","cloudy"
"Grasse","Down stream","La","0.348623853211009","sunny"
"Oswegatchie","Up stream","La","1","wet"
"Oswegatchie","Mid stream","La","0.302752293577982","cloudy"
"Oswegatchie","Down stream","La","0.146788990825688","snowy"
"Raquette","Up stream","La","0.0825688073394495","sunny"
"Raquette","Mid stream","La","0.0275229357798165","snowy"
"Raquette","Down stream","La","0","sunny"
"St. Regis","Up stream","La","0.458715596330275","sunny"
"St. Regis","Mid stream","La","0.36697247706422","sunny"
"St. Regis","Down stream","La","0.229357798165138","wet"
"Grasse","Up stream","Li","0.5","snowy"
"Grasse","Mid stream","Li","0.5","snowy"
"Grasse","Down stream","Li","1","snowy"
"Oswegatchie","Up stream","Li","0.5","sunny"
"Oswegatchie","Mid stream","Li","1","wet"
"Oswegatchie","Down stream","Li","1","sunny"
"Raquette","Up stream","Li","0","cloudy"
"Raquette","Mid stream","Li","0","cloudy"
"Raquette","Down stream","Li","0.5","cloudy"
"St. Regis","Up stream","Li","0.5","wet"
"St. Regis","Mid stream","Li","0.5","sunny"
"St. Regis","Down stream","Li","0.5","wet"
"Grasse","Up stream","Mg","0.106202723146747","cloudy"
"Grasse","Mid stream","Mg","0.404236006051437","cloudy"
"Grasse","Down stream","Mg","0.890771558245083","wet"
"Oswegatchie","Up stream","Mg","0","wet"
"Oswegatchie","Mid stream","Mg","0.404841149773071","cloudy"
"Oswegatchie","Down stream","Mg","1","sunny"
"Raquette","Up stream","Mg","0.0698940998487141","wet"
"Raquette","Mid stream","Mg","0.261724659606657","cloudy"
"Raquette","Down stream","Mg","0.641754916792738","snowy"
"St. Regis","Up stream","Mg","0.175189107413011","wet"
"St. Regis","Mid stream","Mg","0.318608169440242","sunny"
"St. Regis","Down stream","Mg","0.52768532526475","snowy"
"Grasse","Up stream","Mn","0.113080684596577","wet"
"Grasse","Mid stream","Mn","0.122860635696821","cloudy"
"Grasse","Down stream","Mn","0.0654034229828851","wet"
"Oswegatchie","Up stream","Mn","1","sunny"
"Oswegatchie","Mid stream","Mn","0.0611246943765281","wet"
"Oswegatchie","Down stream","Mn","0.00672371638141809","snowy"
"Raquette","Up stream","Mn","0.0177261613691931","wet"
"Raquette","Mid stream","Mn","0.0134474327628362","cloudy"
"Raquette","Down stream","Mn","0","snowy"
"St. Regis","Up stream","Mn","0.112469437652812","wet"
"St. Regis","Mid stream","Mn","0.127750611246944","cloudy"
"St. Regis","Down stream","Mn","0.0562347188264059","cloudy"
"Grasse","Up stream","Nd","0.544776119402985","snowy"
"Grasse","Mid stream","Nd","0.671641791044776","cloudy"
"Grasse","Down stream","Nd","0.395522388059701","wet"
"Oswegatchie","Up stream","Nd","1","sunny"
"Oswegatchie","Mid stream","Nd","0.276119402985075","snowy"
"Oswegatchie","Down stream","Nd","0.134328358208955","sunny"
"Raquette","Up stream","Nd","0.104477611940299","snowy"
"Raquette","Mid stream","Nd","0.0298507462686567","cloudy"
"Raquette","Down stream","Nd","0","wet"
"St. Regis","Up stream","Nd","0.559701492537313","wet"
"St. Regis","Mid stream","Nd","0.455223880597015","sunny"
"St. Regis","Down stream","Nd","0.276119402985075","sunny"
"Grasse","Up stream","Pr","0.548387096774194","wet"
"Grasse","Mid stream","Pr","0.67741935483871","cloudy"
"Grasse","Down stream","Pr","0.387096774193548","sunny"
"Oswegatchie","Up stream","Pr","1","snowy"
"Oswegatchie","Mid stream","Pr","0.290322580645161","cloudy"
"Oswegatchie","Down stream","Pr","0.129032258064516","wet"
"Raquette","Up stream","Pr","0.0967741935483871","snowy"
"Raquette","Mid stream","Pr","0.032258064516129","wet"
"Raquette","Down stream","Pr","0","wet"
"St. Regis","Up stream","Pr","0.516129032258065","sunny"
"St. Regis","Mid stream","Pr","0.419354838709677","cloudy"
"St. Regis","Down stream","Pr","0.258064516129032","wet"
"Grasse","Up stream","Rb","0.0519480519480518","snowy"
"Grasse","Mid stream","Rb","0.519480519480519","wet"
"Grasse","Down stream","Rb","0.662337662337662","snowy"
"Oswegatchie","Up stream","Rb","0.337662337662338","cloudy"
"Oswegatchie","Mid stream","Rb","0.727272727272727","wet"
"Oswegatchie","Down stream","Rb","1","cloudy"
"Raquette","Up stream","Rb","0.675324675324675","cloudy"
"Raquette","Mid stream","Rb","0.649350649350649","cloudy"
"Raquette","Down stream","Rb","0.766233766233766","cloudy"
"St. Regis","Up stream","Rb","0","cloudy"
"St. Regis","Mid stream","Rb","0.168831168831169","wet"
"St. Regis","Down stream","Rb","0.363636363636364","snowy"
"Grasse","Up stream","Si","0.821359223300971","snowy"
"Grasse","Mid stream","Si","0.658252427184466","sunny"
"Grasse","Down stream","Si","0.731391585760518","snowy"
"Oswegatchie","Up stream","Si","0.468608414239482","snowy"
"Oswegatchie","Mid stream","Si","0.27378640776699","snowy"
"Oswegatchie","Down stream","Si","0.640129449838188","wet"
"Raquette","Up stream","Si","0","snowy"
"Raquette","Mid stream","Si","0.0705501618122977","snowy"
"Raquette","Down stream","Si","0.0776699029126214","wet"
"St. Regis","Up stream","Si","1","wet"
"St. Regis","Mid stream","Si","0.845307443365696","snowy"
"St. Regis","Down stream","Si","0.686084142394822","snowy"
"Grasse","Up stream","Sr","0.209039548022599","snowy"
"Grasse","Mid stream","Sr","0.348998459167951","wet"
"Grasse","Down stream","Sr","0.787621982537237","cloudy"
"Oswegatchie","Up stream","Sr","0","sunny"
"Oswegatchie","Mid stream","Sr","0.594247560349255","wet"
"Oswegatchie","Down stream","Sr","1","snowy"
"Raquette","Up stream","Sr","0.123009758602979","sunny"
