Profile,Carbon.Kg.m2,Nitrogen.g.m2,Latitude,Longitude,Code
0001001 27 CO,6.2,234,39.9,-105,A
0001002 29 CO,5.9,257,39.9,-105.9,A
0001003 31 CO,3.2,117,39.9,-105.9,A
0001004 33 CO,4.8,204,39.9,-105.9,A
0001005 35 CO,4.2,198,39.9,-105.9,A
0001006 37 CO,3.2,119,39.9,-105.9,A
0001007 39 CO,4.2,190,39.9,-105.9,A
0001008 41 CO,8.3,312,39.9,-105.9,A
0001009 43 CO,7.8,262,39.9,-105.9,A
0001010 55 CO 25  2,3.6,111,39.9,-105.9,A
0001011 58 CO  8  6,6.9,366,38.9,-106,A
0001012 58 CO  8  8,17.1,874,38.9,-106,A
0001013 85 CO,7.2,268,39.9,-105.9,A
0001014 87 CO,16.7,725,39.9,-105.9,a
0001015 89 CO,6,243,39.9,-105.9,A
0001016 91 CO,22,1303,39.9,-105.9,A
0001017 57 CO  8  1,2.3,110,38.8,-106,A
0001018 57 CO  8  2,3.3,134,38.8,-106,A
0001019 57 CO  8  3,2.5,123,38.8,-106,A
0001020 63 CO 18  1,3.2,160,39.2,-104.9,A
0001021 63 CO 18  2,4.6,174,39.2,-104.8,A
0001022 55 CO 25  3,3.6,136,39.9,-105.9,A
0001023 55 CO 25  4,3.5,177,39.9,-105.9,A
0001024 55 CO 25  7,2.9,157,39.9,-105.9,A
0001025 55 CO 25  8,4.3,148,39.9,-105.9,A
0001026 55 CO 25  5,3.8,222,40,-105.9,A
0001027 55 CO 25  6,3.9,265,40,-105.9,A
0001028 59 CO 26  3,2.1,88,38.9,-106.6,A
0001029 59 CO 26  6,0.9,42,38.9,-106.6,A
0001030 58 CO  8  1,9.4,691,38.9,-106,A
0002001 59 CO 44  1,6.1,651,40.5,-103.9,A
0002002 59 CO 44  2,4.3,446,40.5,-103.9,A
0002003 55 CO  5  3,6.1,517,37.3,-102.8,A
0002004 63 CO 18  7,14.2,1080,39.1,-104.7,A
0002005 63 CO 18  8,10.7,820,39.2,-104.8,A
0002006 58 CO 18  3,4.1,392,38.8,-106,A
0002007 58 CO  8 12,3.6,298,38.8,-106,A
0002008 59 CO 44  3,3.4,316,40.3,-103.9,A
0002009 59 CO 44  4,3.7,361,40.3,-104,A
0002010 61 CO  3  9,6.4,574,39.7,-104.2,A
0002011 58 CO  8  7,9.3,819,38.7,-106,A
0002012 58 CO  8 10,6.1,519,38.8,-106,A
0002013 61 CO  3  5,8.7,747,39.6,-104,A
0002014 62 CO  3  6,<0.1,<0.1,39.7,-104.1,A
0002015 61 CO  3  8,7.6,678,39.7,-104.1,A
0002016 59 CO 26  4,5.7,431,38.8,-106.6,A
0002017 59 CO 26  5,5.6,484,38.8,-106.6,A
0002018 55 CO  5  1,7,603,37.2,-102.7,A
0002019 60 CO 50  2,7.2,738,38.1,-102.2,A
0002020 60 CO 50  5,13.6,1149,37.8,-102.7,A
0002021 60 CO 50  6,5.3,428,37.8,-102.6,A
0002022 61 CO  3  4,5.9,594,39.6,-104,A
0002023 61 CO  3  6,7.8,737,39.6,-104,A
0002024 58 CO  8  2,13.4,1183,38.9,-106,A
