plot,habitat,technician,date
CSP01,forest,Catharine,2009-04-23
CSP02,forest,Catharine,2009-05-06
CSP03,clearcut,Jason,2008-09-03
CSP04,forest,Catharine,2008-09-29
CSP05,grassland,Catharine,2009-02-05
CSP06,grassland,Jason,2008-07-01
CSP07,grassland,Jason,2008-11-19
CSP08,grassland,Catharine,2009-03-02
CSP09,forest,Catharine,2008-08-21
CSP10,grassland,Jason,2009-02-17
CSP11,forest,Jason,2008-09-16
CSP12,grassland,Catharine,2009-03-28
CSP13,grassland,Catharine,2008-07-13
CSP14,clearcut,Jason,2009-06-01
CSP15,forest,Yasir,2008-12-02
CSP16,forest,Catharine,2008-08-08
CSP17,forest,Jason,2009-05-19
CSP18,grassland,Yasir,2009-04-10
CSP19,forest,Jason,2008-07-26
CSP20,forest,Yasir,2009-01-23
CSP21,grassland,Yasir,2009-03-15
CSP22,forest,Yasir,2008-12-28
CSP23,grassland,Yasir,2008-10-12
CSP24,forest,Yasir,2008-10-24
CSP25,grassland,Jason,2008-12-15
CSP26,clearcut,Yasir,2008-11-06
CSP27,grassland,Yasir,2009-01-10
