DATA DOWNLOAD: 2015-09-23						
SYSTEM 001						
LOGGER X						
lab_num	CSP	sample_num	depth_lb	csa	msa	fsa
3177	CSP01	CSP01-P-1-1	4	13.04	17.37	8.19
3178	CSP01	CSP01-P-1-2	12	10.74	16.9	7.92
3179	CSP01	CSP01-P-1-3	35	12.11	17.75	6.99
3180	CSP01	CSP01-P-1-4	53	17.61	18.16	6.29
3181	CSP01	CSP01-P-1-5	83	21.05	18.38	6.26
3182	CSP01	CSP01-P-1-6	105	19.02	18.43	6.28
3183	CSP08	CSP08-P-1-1	10	11.6	17.14	8.18
3184	CSP08	CSP08-P-1-2	27	15.44	16.25	6.76
3185	CSP08	CSP08-P-1-3	90	14.88	15.79	7.12
3186	CSP02	CSP02-P-1-1	5	8.75	8.64	3.41
3187	CSP02	CSP02-P-1-2	11	9.89	8.68	3.28
3188	CSP02	CSP02-P-1-3	36	8.15	9.24	3.48
3189	CSP02	CSP02-P-1-4	56	12.02	8.63	3.11
3190	CSP02	CSP02-P-1-5	70	17.54	10.47	3.41
3191	CSP02	CSP02-P-1-6	78	23.27	14.96	4.6
3192	CSP02	CSP02-P-1-7	100	23.22	16.98	4.1
3332	CSP04	CSP04-P-1-1	5	6.24	8.43	4.36
3333	CSP04	CSP04-P-1-2	40	6.3	7.92	4.72
3334	CSP04	CSP04-P-1-3	60	6.66	8.03	4.66
3335	CSP04	CSP04-P-1-4	80	7.06	8.13	4.79
3336	CSP04	CSP04-P-1-5	110	12.78	7.66	4.21
3337	CSP05	CSP05-P-1-1	5	22.48	15.14	5.85
3338	CSP05	CSP05-P-1-2	13	13.81	14.24	6.65
3339	CSP05	CSP05-P-1-3	32	13.07	12.75	6.01
3340	CSP05	CSP05-P-1-4	52	11.88	12.42	5.32
3341	CSP05	CSP05-P-1-5	90	13.16	14.13	5.92
3342	CSP09	CSP09-P-1-1	8	9.42	12.2	5.68
3343	CSP09	CSP09-P-1-2	15	10.05	11.51	5.05
3344	CSP09	CSP09-P-1-3	30	16.17	9.88	3.98
3345	CSP09	CSP09-P-1-4	48	11.96	11.67	4.38
3346	CSP09	CSP09-P-1-5	80	20.78	9.92	4.15
3347	CSP12	CSP12-P-1-1	5	11.49	13.85	6.2
3348	CSP12	CSP12-P-1-2	10	7.63	14.03	6.54
