ID	region	hab	freq	freq.sd	p.notes
MCB02	kam	0.5266879074	3.9806600009	3.9806600009	0.4592592593
MCB03	kam	-0.9707703735	4.1090031783	4.1090031783	0.5
MCB04	kam	-0.9707703735	4.2463067674	4.2463067674	0.5151515152
MCB05	kam	0.4204055629	4.3677538669	4.3677538669	0.5073529412
MCB07	kam	-0.9707703735	3.970107628	3.970107628	0.2555555556
MCB09	kam	1.588807276	4.2980215068	4.2980215068	0.5524647887
MCB11	kam	-0.1355171234	4.2274940255	4.2274940255	0.4444444444
MCB13	kam	1.5930473437	4.3523962518	4.3523962518	0.5124610592
MCB14	wil	1.1628522208	4.3045788871	4.3045788871	0.3392857143
MCB15	wil	1.30690662	4.38104971	4.38104971	0.3084541063
MCB16	wil	-0.9707703735	4.2681352907	4.2681352907	0.5538194444
MCB17	wil	-0.9707703735	4.2054477474	4.2054477474	0.3333333333
MCB18	wil	-0.9707703735	4.3134678651	4.3134678651	0.390625
MCB19	wil	1.0482967336	4.3200795355	4.3200795355	0.3484848485
MCB20	wil	0.9353847951	4.6073032304	4.6073032304	0.2150793651
MCB21	wil	-0.7626589782	4.4377613975	4.4377613975	0.3545918367
MCB22	wil	-0.0260293456	4.3910552765	4.3910552765	0.3088235294
MCB23	wil	-0.0260293456	4.362823967	4.362823967	0.3083333333
MCB24	wil	0.3934081069	3.9922708613	3.9922708613	0.412037037
MCB25	wil	1.2236170887	4.2134139317	4.2134139317	0.3633879781
MCB26	wil	-0.8611873526	3.8012123394	3.8012123394	0.3364197531
MCB27	wil	-0.7867833665	3.7806126104	3.7806126104	0.2375
MCB28	wil	-0.8432320575	4.4186491233	4.4186491233	0.3289473684
MCB29	wil	-0.9445554781	4.3629213499	4.3629213499	0.2642857143
MCB30	wil	1.5469717817	4.1759879995	4.1759879995	0.4166666667
MCB31	wil	1.4681934608	4.3626946335	4.3626946335	0.35
MCC01	kel	-0.9538062722	4.4046963701	4.4046963701	0.5181818182
MCC02	kel	-0.9419551854	4.381894679	4.381894679	0.5476190476
MCC06	kel	0.8703648174	4.3656659241	4.3656659241	0.7982142857
MCC07	kel	0.498256968	3.6697566508	3.6697566508	1
MCC08	kel	-0.9042705388	4.7133414314	4.7133414314	0.2685185185
MCC11	kel	-0.0299285883	4.350947096	4.350947096	0.2042194093
MCC12	kel	0.7594200051	3.4315553181	3.4315553181	1
MCC13	kel	1.4010383834	3.6465795909	3.6465795909	1
MCC15	kam	1.6673099355	3.1574809696	3.1574809696	0.4583333333
MCC16	kam	-0.523454861	4.3706837513	4.3706837513	0.5010869565
MCC17	kam	-0.9252776158	4.4349822147	4.4349822147	0.5
MCC18	kam	-0.9265788499	4.2355747108	4.2355747108	0.5119047619
MCC19	kam	1.451842784	4.3630177292	4.3630177292	0.5
MCC21	kam	-0.9545517803	4.2302714151	4.2302714151	0.5
MCC24	kam	-0.9707703735	4.3354778145	4.3354778145	0.2625
MCC25	kam	-0.8475321212	4.299126238	4.299126238	0.25
MCC26	kam	-0.8245263602	4.4000380481	4.4000380481	0.25
MCC30	kam	1.3736343295	4.4337076401	4.4337076401	0.7821078431
MCC31	kam	-0.9072955906	3.9539665498	3.9539665498	0.512962963
MCC33	kam	-0.3713834163	4.4702543144	4.4702543144	0.6013888889
MCC40	kam	-0.9444992786	4.062592577	4.062592577	0.2772988506
