River Name,Site,Ele,Amo,Temperature C°,Year,Wea
Grasse,Up stream,Al,0.605555555555556,10.940882846454791,2019,snowy
Grasse,Mid stream,Al,0.425,8.677056513493234,2020,cloudy
Grase,Down stream,Al,0.194444444444444,8.753504704084953,2021,cloudy
Oswegatchie,Up stream,Al,1,0.7906173662824934,2022,sunny
Oswegatchie,Mid stream,Al,0.161111111111111,9.31649582154454,2023,snowy
Oswegatchie,Down stream,Al,0.0333333333333333,10.561112900412922,2019,wet
Raquette,Up stream,Al,0.291666666666667,4.010293377739533,2020,snowy
Raquette,Mid stream,Al,0.0388888888888889,5.959246323794484,2021,sunny
Raquette,Down stream,Al,NA,6.206097580190212,2022,cloudy
St. Regis,Up stream,Al,0.680555555555556,8.024151131059568,2023,wet
St. Regis,Mid stream,Al,0.45,9.305303488117678,2019,cloudy
St. Regis,Down stream,Al,0.286111111111111,8.37360487983739,2020,wet
Grasse,Up stream,Ba,0.505283381364073,17.382545055228306,2021,cloudy
Grasse,Mid stream,Ba,0.564841498559078,11.576216439898007,2022,snowy
Grasse,Down stream,Ba,0.523535062439962,13.19011400504607,2023,cloudy
Oswegatchie,Up stream,Ba,0.357348703170029,3.733338559257689,2019,snowy
Oswegatchie,Mid stream,Ba,0.560038424591739,9.656595964709576,2020,sunny
Oswegatchie,Down stream,Ba,1,8.563442075048867,2021,sunny
Raquette,Up stream,Ba,NA,5.225564133745073,2022,wet
Raquette,Mid stream,Ba,0.22478386167147,11.456746948088883,2023,sunny
Raquette,Down stream,Ba,0.364073006724304,11.4466498063531,2019,sunny
St. Regis,Up stream,Ba,0.379442843419789,11.387857480454265,2020,snowy
St. Regis,Mid stream,Ba,0.296829971181556,10.7589461067571,2021,sunny
St. Regis,Down stream,Ba,0.577329490874159,9.361692777844885,2022,cloudy
Grasse,Up stream,Br,0.107142857142857,11.306196953727467,2023,snowy
Grasse,Mid stream,Br,0.0357142857142857,12.39301680957396,2019,sunny
Grasse,Down stream,Br,0.178571428571429,2.6338627997502124,2020,wet
Oswegatchie,Up stream,Br,0.107142857142857,20.87222239816701,2021,wet
Oswegatchie,Mid stream,Br,0.857142857142857,10.764977561829175,2022,snowy
Oswegatchie,Down stream,Br,1,4.794815738886723,2023,sunny
Raquette,Up stream,Br,NA,-99,2019,cloudy
Raquette,Mid stream,Br,0.0714285714285714,6.23457041888264,2020,cloudy
Raquette,Down stream,Br,0.214285714285714,15.60103512666942,2021,sunny
St. Regis,Up stream,Br,0.0357142857142857,3.5181198866036807,2022,wet
St. Regis,Mid stream,Br,0.0357142857142857,0.9360161715759361,2023,wet
St. Regis,Down stream,Br,0.107142857142857,14.651974356722533,2019,cloudy
Grasse,Up stream,Ca,0.115987189474595,9.535379837214048,2020,wet
Grasse,Mid stream,Ca,0.360945209036614,11.33702403749906,2021,cloudy
Grasse,Down stream,Ca,0.730978966502207,7.516567574523448,2022,cloudy
Oswegatchie,Up stream,Ca,NA,4.76062036607653,2023,wet
Oswegatchie,Mid stream,Ca,0.484722582878906,5.297095833180012,2019,sunny
Oswegatchie,Down stream,Ca,1,5.515137868744765,2020,sunny
Raquette,Up stream,Ca,0.0612827836925474,4.552382065380859,2021,sunny
Raquette,Mid stream,Ca,0.229983554055224,11.924498313874857,2022,snowy
Raquette,Down stream,Ca,0.523586947113304,12.967886502131643,2023,snowy
St. Regis,Up stream,Ca,0.132433134250844,10.11129850086131,2019,sunny
St. Regis,Mid stream,Ca,0.251622955076603,11.325518843273684,2020,sunny
St. Regis,Down stream,Ca,0.427767679390634,12.576456527965508,2021,wet
Grasse,Up stream,Ce,0.514450867052023,19.94264624575186,2022,wet
Grasse,Mid stream,Ce,0.520231213872832,17.83992683078494,2023,sunny
Grasse,Down stream,Ce,0.283236994219653,10.76665353956788,2019,cloudy
Oswegatchie,Up stream,Ce,1,16.210177088420615,2020,cloudy
Oswegatchie,Mid stream,Ce,0.184971098265896,13.656969147558756,2021,wet
Oswegatchie,Down stream,Ce,0.069364161849711,11.43450149920558,2022,wet
Raquette,Up stream,Ce,0.127167630057803,10.700382544363343,2023,snowy
Raquette,Mid stream,Ce,0.0115606936416185,6.610928924184114,2019,snowy
Raquette,Down stream,Ce,NA,13.912926629603456,2020,sunny
St. Regis,Up stream,Ce,0.497109826589595,17.22347303659549,2021,sunny
St. Regis,Mid stream,Ce,0.341040462427746,10.491659209411665,2022,sunny
St. Regis,Down stream,Ce,0.219653179190751,9.480911894896401,2023,cloudy
Grasse,Up stream,Cu,NA,9.134285363402652,2019,cloudy
Grasse,Mid stream,Cu,0.2,15.78591266940095,2020,wet
Grasse,Down stream,Cu,1,11.638839206224004,2021,sunny
Oswegatchie,Up stream,Cu,0.2,13.643666287954913,2022,cloudy
Oswegatchie,Mid stream,Cu,0.7,15.72143266630051,2023,wet
Oswegatchie,Down stream,Cu,0.6,8.474832177510907,2019,wet
Raquette,Up stream,Cu,0.2,10.809228707525262,2020,wet
Raquette,Mid stream,Cu,0.1,6.775203223674195,2021,wet
Raquette,Down stream,Cu,0.2,11.178536734827901,2022,snowy
St. Regis,Up stream,Cu,0.2,15.61953233248277,2023,snowy
St. Regis,Mid stream,Cu,0.1,14.095067385816723,2019,cloudy
St. Regis,Down stream,Cu,0.1,11.904504257941888,2020,cloudy
Grasse,Up stream,Dy,0.65,7.318678680404497,2021,cloudy
Grasse,Mid stream,Dy,0.75,10.636937284834703,2022,snowy
Grasse,Down stream,Dy,0.45,8.469138467463885,2023,wet
Oswegatchie,Up stream,Dy,1,13.743050372978098,2019,cloudy
Oswegatchie,Mid stream,Dy,0.3,7.473870929033465,2020,snowy
Oswegatchie,Down stream,Dy,0.15,9.606775690085454,2021,cloudy
Raquette,Up stream,Dy,0.1,14.127939932479347,2022,sunny
Raquette,Mid stream,Dy,0.05,11.551233717831622,2023,cloudy
Raquette,Down stream,Dy,NA,4.9754827466507265,2019,wet
St. Regis,Up stream,Dy,0.65,6.852189079639061,2020,sunny
St. Regis,Mid stream,Dy,0.55,11.719246194671536,2021,sunny
St. Regis,Down stream,Dy,0.35,8.494335123176121,2022,wet
Grasse,Up stream,Er,0.6,5.13508373453914,2023,wet
Grasse,Mid stream,Er,0.666666666666667,14.117114056473643,2019,cloudy
Grasse,Down stream,Er,0.4,11.721587996099629,2020,cloudy
Oswegatchie,Up stream,Er,1,5.017703919626476,2021,wet
Oswegatchie,Mid stream,Er,0.266666666666667,7.589086054050867,2022,cloudy
Oswegatchie,Down stream,Er,0.133333333333333,12.640277549528992,2023,snowy
Raquette,Up stream,Er,0.0666666666666667,18.20299810445443,2019,wet
Raquette,Mid stream,Er,0.0666666666666667,11.963232715273703,2020,snowy
Raquette,Down stream,Er,NA,3.0740823248799405,2021,cloudy
St. Regis,Up stream,Er,0.6,12.843534637632722,2022,cloudy
St. Regis,Mid stream,Er,0.4,10.055291645848884,2023,wet
St. Regis,Down stream,Er,0.333333333333333,4.395833610535175,2019,sunny
Grasse,Up stream,Fe,1,15.036494661766692,2020,sunny
grasse,Mid stream,Fe,0.541575492341357,9.490089926497433,2021,sunny
Grasse,Down stream,Fe,0.324945295404814,7.082453945394139,2022,sunny
Oswegatchie,Up stream,Fe,0.908096280087527,5.154554559159838,2023,wet
Oswegatchie,Mid stream,Fe,0.21772428884026301,12.39847897936731,2019,snowy
Oswegatchie,Down stream,Fe,0.109409190371991,5.358681891118992,2020,cloudy
Raquette,Up stream,Fe,0.0853391684901532,11.756373737742408,2021,cloudy
raquette,Mid stream,Fe,0.00656455142231947,10.819414946527866,2022,sunny
Raquette,Down stream,Fe,NA,7.203274639594007,2023,sunny
St. Regis,Up stream,Fe,0.788840262582057,6.29349729330769,2019,sunny
St. Regis,Mid stream,Fe,0.588621444201313,5.946070499037086,2020,wet
St. Regis,Down stream,Fe,0.350109409190372,12.419948239086214,2021,snowy
Grasse,Up stream,Gd,0.772727272727273,16.937600531152352,2022,wet
Grasse,Mid stream,Gd,0.818181818181818,8.600597877449665,2023,sunny
Grasse,Down stream,Gd,0.590909090909091,14.796742035316662,2019,snowy
Oswegatchie,Up stream,Gd,1,14.0956039922027,2020,sunny
Oswegatchie,Mid stream,Gd,0.272727272727273,9.814899402617096,2021,wet
Oswegatchie,Down stream,Gd,0.227272727272727,15.5460337030984,2022,sunny
Raquette,Up stream,Gd,0.136363636363636,1.2189091242429217,2023,cloudy
Raquette,Mid stream,Gd,0.0909090909090909,9.489772348161116,2019,sunny
Raquette,Down stream,Gd,NA,4.732012632489811,2020,cloudy
St. Regis,Up stream,Gd,0.590909090909091,4.292259436895508,2021,cloudy
St. Regis,Mid stream,Gd,0.590909090909091,13.517766523109792,2022,cloudy
St. Regis,Down stream,Gd,0.454545454545455,11.575966300246206,2023,sunny
Grasse,Up stream,Ho,NA,12.755701935233295,2019,snowy
Grasse,Mid stream,Ho,NA,19.41486600591248,2020,cloudy
Grasse,Down stream,Ho,NA,5.939609314297262,2021,sunny
Oswegatchie,Up stream,Ho,NA,11.16391008121376,2022,snowy
Oswegatchie,Mid stream,Ho,NA,16.261304316465214,2023,sunny
Oswegatchie,Down stream,Ho,NA,6.611526526429262,2019,cloudy
Raquette,Up stream,Ho,NA,15.310640632875453,2020,cloudy
Raquette,Mid stream,Ho,NA,11.90818532518998,2021,wet
Raquette,Down stream,Ho,NA,10.741003746807992,2022,snowy
St. Regis,Up stream,Ho,NA,11.01317955307671,2023,sunny
St. Regis,Mid stream,Ho,NA,20.368909402392333,2019,wet
St. Regis,Down stream,Ho,NA,14.297387971190407,2020,snowy
Grasse,Up stream,K,0.0313479623824451,3.612392430686267,2021,cloudy
Grasse,Mid stream,K,0.230407523510972,9.649645614628641,2022,snowy
Grasse,Down stream,K,0.4858934169279,11.443070361894286,2023,cloudy
Oswegatchie,Up stream,K,0.18025078369906,6.480160074439002,2019,sunny
Oswegatchie,Mid stream,K,0.426332288401254,-99,2020,cloudy
Oswegatchie,Down stream,K,1,8.129938187583704,2021,snowy
Raquette,Up stream,K,0.24294670846395,11.726161062744257,2022,sunny
Raquette,Mid stream,K,0.304075235109718,7.584042184641605,2023,wet
Raquette,Down stream,K,0.619122257053291,12.697786770911478,2019,sunny
St. Regis,Up stream,K,NA,12.54368214326046,2020,wet
St. Regis,Mid stream,K,0.109717868338558,7.548118449613599,2021,snowy
St. Regis,Down stream,K,0.231974921630094,11.659565381683494,2022,wet
Grasse,Up stream,La,0.477064220183486,13.509373490523961,2023,sunny
Grasse,Mid stream,La,0.688073394495413,10.084630330460138,2019,snowy
Grasse,Down stream,La,0.348623853211009,17.241533178856493,2020,snowy
Oswegatchie,Up stream,La,1,8.191617183295868,2021,snowy
Oswegatchie,Mid stream,La,0.302752293577982,9.499504057901316,2022,snowy
Oswegatchie,Down stream,La,0.146788990825688,13.06720166572382,2023,cloudy
Raquette,Up stream,La,0.0825688073394495,9.633918956328213,2019,snowy
Raquette,Mid stream,La,0.0275229357798165,2.5027767620129175,2020,cloudy
Raquette,Down stream,La,NA,7.34335192943025,2021,snowy
St. Regis,Up stream,La,0.458715596330275,10.813651271457804,2022,sunny
St. Regis,Mid stream,La,0.36697247706422,-99,2023,cloudy
St. Regis,Down stream,La,0.229357798165138,9.625064274269246,2019,snowy
Grasse,Up stream,Li,0.5,8.29072032996056,2020,snowy
Grasse,Mid stream,Li,0.5,11.771917108294796,2021,wet
Grasse,Down stream,Li,1,5.248768298493335,2022,snowy
Oswegatchie,Up stream,Li,0.5,12.505701893603797,2023,sunny
Oswegatchie,Mid stream,Li,1,11.446586405705169,2019,sunny
Oswegatchie,Down stream,Li,1,8.108157683702828,2020,sunny
Raquette,Up stream,Li,NA,13.779574809164538,2021,sunny
Raquette,Mid stream,Li,NA,13.625608990128708,2022,snowy
Raquette,Down stream,Li,0.5,11.887094818614205,2023,cloudy
St. Regis,Up stream,Li,0.5,11.557999721808208,2019,wet
St. Regis,Mid stream,Li,0.5,12.087761069366653,2020,snowy
St. Regis,Down stream,Li,0.5,13.617811359206746,2021,cloudy
Grasse,Up stream,Mg,0.106202723146747,16.787163705432974,2022,wet
Grasse,Mid stream,Mg,0.404236006051437,6.4626502586513634,2023,wet
Grasse,Down stream,Mg,0.890771558245083,13.425958805879109,2019,sunny
Oswegatchie,Up stream,Mg,NA,10.699769802296611,2020,wet
Oswegatchie,Mid stream,Mg,0.404841149773071,8.40598015198972,2021,sunny
Oswegatchie,Down stream,Mg,1,11.100810249576416,2022,cloudy
Raquette,Up stream,Mg,0.0698940998487141,4.925124803723427,2023,sunny
Raquette,Mid stream,Mg,0.261724659606657,9.959674684057147,2019,wet
Raquette,Down stream,Mg,0.641754916792738,12.61360689800991,2020,cloudy
St. Regis,Up stream,Mg,0.175189107413011,10.394319917976002,2021,cloudy
St. Regis,Mid stream,Mg,0.318608169440242,13.610467765299804,2022,sunny
St. Regis,Down stream,Mg,0.52768532526475,7.920410016443125,2023,snowy
Grasse,Up stream,Mn,0.113080684596577,4.826036081021392,2019,sunny
